date,risk_off,halted,n_held,narratives
2021-12-10,False,False,7,"BAT, AVAX, DEXE, ROSE, SFP, ZEC, DUSK"
2021-12-13,False,False,6,"BAT, ROSE, DEXE, ETH, SFP, AVAX"
2021-12-16,False,False,4,"TUSD, DEXE, SFP, USDC"
2021-12-19,False,False,6,"DUSK, SFP, ROSE, DEXE, BAT, TUSD"
2021-12-22,False,False,5,"DUSK, TUSD, USDC, ROSE, AVAX"
2021-12-25,False,False,5,"DUSK, AVAX, USDC, TUSD, YFI"
2021-12-28,False,False,5,"DUSK, YFI, TUSD, AVAX, USDC"
2021-12-31,True,False,0,CASH
2022-01-03,True,False,0,CASH
2022-01-06,True,False,0,CASH
2022-01-09,True,False,0,CASH
2022-01-12,True,False,0,CASH
2022-01-15,True,False,0,CASH
2022-01-18,True,False,0,CASH
2022-01-21,True,False,0,CASH
2022-01-24,True,False,0,CASH
2022-01-27,True,False,0,CASH
2022-01-30,True,False,0,CASH
2022-02-02,True,False,0,CASH
2022-02-05,True,False,0,CASH
2022-02-08,True,False,0,CASH
2022-02-11,True,False,0,CASH
2022-02-14,True,False,0,CASH
2022-02-17,True,False,0,CASH
2022-02-20,True,False,0,CASH
2022-02-23,True,False,0,CASH
2022-02-26,True,False,0,CASH
2022-03-01,True,False,0,CASH
2022-03-04,True,False,0,CASH
2022-03-07,True,False,0,CASH
2022-03-10,True,False,0,CASH
2022-03-13,True,False,0,CASH
2022-03-16,True,False,0,CASH
2022-03-19,True,False,0,CASH
2022-03-22,True,False,0,CASH
2022-03-25,True,False,0,CASH
2022-03-28,True,False,0,CASH
2022-03-31,True,False,0,CASH
2022-04-03,True,False,0,CASH
2022-04-06,True,False,0,CASH
2022-04-09,True,False,0,CASH
2022-04-12,True,False,0,CASH
2022-04-15,True,False,0,CASH
2022-04-18,True,False,0,CASH
2022-04-21,True,False,0,CASH
2022-04-24,True,False,0,CASH
2022-04-27,True,False,0,CASH
2022-04-30,True,False,0,CASH
2022-05-03,True,False,0,CASH
2022-05-06,True,False,0,CASH
2022-05-09,True,False,0,CASH
2022-05-12,True,False,0,CASH
2022-05-15,True,False,0,CASH
2022-05-18,True,False,0,CASH
2022-05-21,True,False,0,CASH
2022-05-24,True,False,0,CASH
2022-05-27,True,False,0,CASH
2022-05-30,True,False,0,CASH
2022-06-02,True,False,0,CASH
2022-06-05,True,False,0,CASH
2022-06-08,True,False,0,CASH
2022-06-11,True,False,0,CASH
2022-06-14,True,False,0,CASH
2022-06-17,True,False,0,CASH
2022-06-20,True,False,0,CASH
2022-06-23,True,False,0,CASH
2022-06-26,True,False,0,CASH
2022-06-29,True,False,0,CASH
2022-07-02,True,False,0,CASH
2022-07-05,True,False,0,CASH
2022-07-08,True,False,0,CASH
2022-07-11,True,False,0,CASH
2022-07-14,True,False,0,CASH
2022-07-17,True,False,0,CASH
2022-07-20,True,False,0,CASH
2022-07-23,True,False,0,CASH
2022-07-26,True,False,0,CASH
2022-07-29,True,False,0,CASH
2022-08-01,True,False,0,CASH
2022-08-04,True,False,0,CASH
2022-08-07,True,False,0,CASH
2022-08-10,True,False,0,CASH
2022-08-13,True,False,0,CASH
2022-08-16,True,False,0,CASH
2022-08-19,True,False,0,CASH
2022-08-22,True,False,0,CASH
2022-08-25,True,False,0,CASH
2022-08-28,True,False,0,CASH
2022-08-31,True,False,0,CASH
2022-09-03,True,False,0,CASH
2022-09-06,True,False,0,CASH
2022-09-09,True,False,0,CASH
2022-09-12,True,False,0,CASH
2022-09-15,True,False,0,CASH
2022-09-18,True,False,0,CASH
2022-09-21,True,False,0,CASH
2022-09-24,True,False,0,CASH
2022-09-27,True,False,0,CASH
2022-09-30,True,False,0,CASH
2022-10-03,True,False,0,CASH
2022-10-06,True,False,0,CASH
2022-10-09,True,False,0,CASH
2022-10-12,True,False,0,CASH
2022-10-15,True,False,0,CASH
2022-10-18,True,False,0,CASH
2022-10-21,True,False,0,CASH
2022-10-24,True,False,0,CASH
2022-10-27,True,False,0,CASH
2022-10-30,True,False,0,CASH
2022-11-02,True,False,0,CASH
2022-11-05,True,False,0,CASH
2022-11-08,True,False,0,CASH
2022-11-11,True,False,0,CASH
2022-11-14,True,False,0,CASH
2022-11-17,True,False,0,CASH
2022-11-20,True,False,0,CASH
2022-11-23,True,False,0,CASH
2022-11-26,True,False,0,CASH
2022-11-29,True,False,0,CASH
2022-12-02,True,False,0,CASH
2022-12-05,True,False,0,CASH
2022-12-08,True,False,0,CASH
2022-12-11,True,False,0,CASH
2022-12-14,True,False,0,CASH
2022-12-17,True,False,0,CASH
2022-12-20,True,False,0,CASH
2022-12-23,True,False,0,CASH
2022-12-26,True,False,0,CASH
2022-12-29,True,False,0,CASH
2023-01-01,True,False,0,CASH
2023-01-04,True,False,0,CASH
2023-01-07,True,False,0,CASH
2023-01-10,True,False,0,CASH
2023-01-13,True,False,0,CASH
2023-01-16,False,False,10,"LDO, APE, ATOM, FET, LTC, ADA, ZIL, ETH, ETC, DUSK"
2023-01-19,False,False,10,"ATOM, FET, LDO, LTC, APE, ADA, ETH, BCH, DUSK, AAVE"
2023-01-22,False,False,10,"ATOM, FET, ETH, AAVE, LDO, APE, SHIB, ADA, FIL, ROSE"
2023-01-25,False,False,10,"FET, AAVE, KAVA, SHIB, ETH, COMP, LDO, BAT, ADA, LTC"
2023-01-28,False,False,10,"FET, SHIB, KAVA, AAVE, SNX, ETH, LDO, ADA, BAT, ROSE"
2023-01-31,False,False,10,"FET, KAVA, DUSK, LDO, SHIB, AAVE, SNX, APE, ADA, STG"
2023-02-03,False,False,10,"DUSK, APE, INJ, ADA, SHIB, BAT, AVAX, BCH, AAVE, KAVA"
2023-02-06,False,False,10,"INJ, DUSK, AVAX, BCH, FET, APE, ADA, CAKE, ROSE, FIL"
2023-02-09,False,False,10,"INJ, DUSK, ADA, AVAX, AAVE, STG, KAVA, SFP, FIL, SUSHI"
2023-02-12,False,False,10,"FET, INJ, SHIB, ACH, CAKE, BAT, AVAX, DUSK, 1INCH, BCH"
2023-02-15,False,False,10,"INJ, FET, STG, ACH, CAKE, ROSE, SHIB, BAT, 1INCH, DUSK"
2023-02-18,False,False,10,"DUSK, INJ, FET, ACH, ROSE, RAY, SHIB, BAT, CAKE, 1INCH"
2023-02-21,False,False,10,"ROSE, DUSK, FET, INJ, STG, BAT, ACH, TRX, RAY, ZIL"
2023-02-24,False,False,10,"STG, DUSK, INJ, ACH, ROSE, FIL, TRX, LDO, BAT, DOT"
2023-02-27,False,False,10,"ACH, STG, INJ, FIL, DUSK, ZIL, TRX, ROSE, BAT, DOT"
2023-03-02,False,False,10,"ACH, DEXE, STG, YFI, ZIL, FIL, INJ, LINK, BAT, TRX"
2023-03-05,False,False,10,"ACH, YFI, LDO, STG, FIL, TRX, ZIL, INJ, BAT, DEXE"
2023-03-08,False,False,10,"ACH, YFI, FET, DUSK, SNX, STG, LDO, TRX, ZIL, FIL"
2023-03-11,False,False,8,"ACH, YFI, FET, SNX, RAY, TRX, LDO, FIL"
2023-03-14,False,False,5,"ACH, YFI, SNX, FIL, LDO"
2023-03-17,False,False,2,"ACH, KAVA"
2023-03-20,False,False,9,"KAVA, ACH, SNX, ETH, INJ, YFI, FIL, LDO, TRX"
2023-03-23,False,False,6,"ACH, KAVA, INJ, ETH, SNX, ATOM"
2023-03-26,False,False,10,"ACH, ETH, INJ, KAVA, BCH, YFI, 1INCH, SNX, ETC, FET"
2023-03-29,False,False,5,"XRP, ETH, INJ, ACH, ADA"
2023-04-01,False,False,6,"XRP, ETH, LTC, ADA, INJ, ETC"
2023-04-04,False,False,6,"XRP, ETH, INJ, ADA, LTC, ETC"
2023-04-07,False,False,10,"XRP, ADA, INJ, ETH, LINK, LTC, 1INCH, BAT, AVAX, ZIL"
2023-04-10,False,False,10,"INJ, DOGE, XRP, ADA, ETH, BAT, ACH, ZIL, DOT, LTC"
2023-04-13,False,False,10,"INJ, ETH, XRP, BAT, ADA, ACH, DOGE, STG, ZIL, AAVE"
2023-04-16,False,False,10,"INJ, ETH, BAT, LTC, ACH, ZEC, ADA, XRP, ZIL, DOGE"
2023-04-19,False,False,10,"INJ, USDC, TUSD, ACH, BAT, ETH, ETC, ADA, XRP, ZEC"
2023-04-22,False,False,10,"INJ, ADA, ETH, ZEC, XRP, ROSE, ETC, AVAX, LINK, APE"
2023-04-25,False,False,10,"INJ, ROSE, ADA, AVAX, ETH, LINK, LTC, ZEC, USDC, TUSD"
2023-04-28,False,False,8,"USDC, INJ, TUSD, DEXE, ZIL, TRX, ETH, ROSE"
2023-05-01,False,False,6,"INJ, USDC, DEXE, ZIL, TRX, TUSD"
2023-05-04,False,False,10,"INJ, DEXE, ADA, STG, TRX, USDC, ROSE, ETH, ATOM, ZIL"
2023-05-07,False,False,5,"TUSD, INJ, TRX, DEXE, ATOM"
2023-05-10,False,False,6,"TRX, INJ, USDC, ETH, DEXE, TUSD"
2023-05-13,False,False,1,TRX
2023-05-16,False,False,1,TRX
2023-05-19,False,False,4,"TRX, KAVA, ATOM, TUSD"
2023-05-22,False,False,4,"KAVA, TRX, USDC, TUSD"
2023-05-25,False,False,6,"KAVA, TRX, USDC, LTC, LDO, TUSD"
2023-05-28,False,False,7,"TRX, KAVA, LTC, LDO, XRP, SNX, USDC"
2023-05-31,False,False,7,"TRX, KAVA, USDC, SNX, LDO, TUSD, XRP"
2023-06-03,False,False,5,"KAVA, TRX, TUSD, XRP, USDC"
2023-06-06,False,False,10,"XRP, KAVA, TRX, ACH, LTC, ETH, LDO, USDC, STG, INJ"
2023-06-09,False,False,10,"XRP, TRX, LTC, INJ, LDO, ACH, KAVA, ETH, FIL, STG"
2023-06-12,False,False,10,"XRP, TRX, USDC, KAVA, LDO, INJ, RAY, LTC, LUNC, TUSD"
2023-06-15,False,False,9,"XRP, TRX, LUNC, USDC, LDO, LTC, KAVA, INJ, TUSD"
2023-06-18,False,False,1,XRP
2023-06-21,False,False,4,"TUSD, USDC, XRP, LUNC"
2023-06-24,False,False,4,"TUSD, USDC, SFP, LUNC"
2023-06-27,False,False,8,"SFP, TUSD, INJ, LUNC, ROSE, TWT, USDC, XRP"
2023-06-30,False,False,10,"BCH, SFP, ETC, ETH, INJ, YFI, FET, LTC, LUNC, ROSE"
2023-07-03,False,False,10,"BCH, SFP, INJ, UNI, ETC, AAVE, COMP, ETH, YFI, KAVA"
2023-07-06,False,False,10,"BCH, COMP, RAY, INJ, SNX, ETC, SFP, TRX, YFI, AAVE"
2023-07-09,False,False,10,"BCH, COMP, INJ, YFI, LTC, ETC, DOT, UNI, LINK, AAVE"
2023-07-12,False,False,10,"BCH, COMP, INJ, AAVE, YFI, FIL, LTC, ETC, ZIL, ZEC"
2023-07-15,False,False,10,"BCH, COMP, YFI, AAVE, TRX, INJ, DEXE, ETC, RAY, FIL"
2023-07-18,False,False,10,"COMP, BCH, AAVE, STG, YFI, TRX, INJ, FIL, KAVA, DEXE"
2023-07-21,False,False,10,"COMP, INJ, BCH, SNX, AAVE, TRX, AVAX, UNI, LDO, STG"
2023-07-24,False,False,10,"COMP, BCH, INJ, 1INCH, SNX, AVAX, RAY, LINK, TRX, ZIL"
2023-07-27,False,False,10,"LINK, COMP, SNX, RAY, BCH, INJ, UNI, TRX, XRP, AXS"
2023-07-30,False,False,10,"SNX, COMP, UNI, TRX, LINK, USDC, XRP, RAY, INJ, AAVE"
2023-08-02,False,False,10,"COMP, DOGE, SNX, LINK, TRX, XRP, UNI, TWT, USDC, SHIB"
2023-08-05,False,False,10,"DOGE, UNI, LINK, SNX, COMP, TRX, SHIB, DEXE, TWT, FIL"
2023-08-08,False,False,10,"UNI, TWT, DOGE, TUSD, SHIB, XRP, LINK, SUSHI, USDC, BAT"
2023-08-11,False,False,10,"USDC, TUSD, SHIB, UNI, BAT, TWT, SUSHI, LINK, XRP, DOGE"
2023-08-14,False,False,10,"USDC, SHIB, TWT, STG, BAT, SUSHI, DOGE, TUSD, LINK, UNI"
2023-08-17,False,False,10,"SHIB, USDC, BAT, TWT, DOGE, SNX, SUSHI, TUSD, SFP, LINK"
2023-08-20,True,False,0,CASH
2023-08-23,True,False,0,CASH
2023-08-26,True,False,0,CASH
2023-08-29,True,False,0,CASH
2023-09-01,True,False,0,CASH
2023-09-04,True,False,0,CASH
2023-09-07,True,False,0,CASH
2023-09-10,True,False,0,CASH
2023-09-13,True,False,0,CASH
2023-09-16,True,False,0,CASH
2023-09-19,True,False,0,CASH
2023-09-22,True,False,0,CASH
2023-09-25,True,False,0,CASH
2023-09-28,True,False,0,CASH
2023-10-01,True,False,0,CASH
2023-10-04,True,False,0,CASH
2023-10-07,True,False,0,CASH
2023-10-10,True,False,0,CASH
2023-10-13,True,False,0,CASH
2023-10-16,True,False,0,CASH
2023-10-19,True,False,0,CASH
2023-10-22,False,False,10,"TWT, INJ, LDO, FLOKI, SFP, FDUSD, AAVE, LINK, TUSD, TRX"
2023-10-25,False,False,10,"TWT, SFP, TRX, INJ, FLOKI, FDUSD, PENDLE, LINK, USDC, TUSD"
2023-10-28,False,False,10,"TWT, FLOKI, LINK, TRX, INJ, BCH, BAT, PENDLE, RAY, SFP"
2023-10-31,False,False,10,"INJ, SFP, LINK, AAVE, SNX, ROSE, LDO, ETH, FET, ADA"
2023-11-03,False,False,10,"INJ, FLOKI, FET, LINK, ADA, SFP, ETH, APE, PENDLE, ROSE"
2023-11-06,False,False,10,"INJ, FET, FLOKI, LINK, AXS, PENDLE, ADA, SFP, APE, ATOM"
2023-11-09,False,False,10,"INJ, FET, ADA, TRX, SUSHI, ROSE, AVAX, ZIL, APE, SFP"
2023-11-12,False,False,10,"INJ, CAKE, ROSE, ADA, FET, 1INCH, XRP, LINK, APE, AXS"
2023-11-15,False,False,10,"INJ, LINK, 1INCH, ADA, CAKE, ROSE, XRP, AAVE, KAVA, ATOM"
2023-11-18,False,False,10,"INJ, ADA, ROSE, LINK, 1INCH, CAKE, KAVA, FET, DUSK, ATOM"
2023-11-21,False,False,10,"YFI, DUSK, AVAX, LINK, CAKE, ADA, ATOM, DEXE, INJ, KAVA"
2023-11-24,False,False,10,"YFI, AVAX, CAKE, ADA, ATOM, FET, DOGE, LINK, DOT, FIL"
2023-11-27,False,False,10,"AVAX, CAKE, FET, SNX, ADA, ROSE, LINK, DOT, FIL, DUSK"
2023-11-30,False,False,10,"AVAX, FET, SNX, ADA, CAKE, UNI, SUSHI, LINK, LDO, DEXE"
